"id_salarié","Contrat","Augmentation","Promotion","Sexe","Tranche ancienneté","Service","Accident du travail","Tranche âge","Tranche salaire","Durée du travail","Salaire moyen service/sexe","Âge moyen service/sexe"
"cbde8916b06a9cce3255b0ea2d26a203a2a6a190","CDI","Non","Non","F","f) De 19 à 24 ans","Consultant","Non","c) 40 à 49 ans","f) Plus de 9000€","Plein temps",5912.17,52
"988dee6377566d6f35511b5f59b768c680771b36","CDI","Non","Oui","H","d) De 9 à 14 ans","Consultant","Non","d) 50 ans et plus","d) de 5000€ à 7000€","Plein temps",4952.42,53
"545979b606d3320a67afcb9d1a16ad5e17e0eeba","CDI","Oui","Oui","F","d) De 9 à 14 ans","RH","Oui","d) 50 ans et plus","c) De 3000€ à 5000€","Plein temps",6583.4,54
"052423e5cb7ae56c87523fd684809041a4307760","CDI","Oui","Non","H","f) De 19 à 24 ans","Consultant","Non","d) 50 ans et plus","b) De 1500€ à 3000€","Plein temps",4952.42,53
"000b7df4ea4c2f5330f4798a96b9a1e43ef70d12","CDD","Oui","Non","H","b) De 1 à 4 ans","R&D","Oui","c) 40 à 49 ans","c) De 3000€ à 5000€","Plein temps",7784.36,53
"95ecfcff87a1a8f9bb50cdc8a0e7c8bb0ef86f54","CDI","Non","Non","H","d) De 9 à 14 ans","Commercial","Non","d) 50 ans et plus","e) de 7000€ à 9000€","Plein temps",7790.21,51
"c25592b3c27f84f9f15df606418c4cd6287a4b92","CDI","Non","Oui","H","e) De 14 à 19 ans","Marketing","Oui","c) 40 à 49 ans","f) Plus de 9000€","Plein temps",7017.56,49
"ef1aeb71610d822eb705f602633d4a6e78c54bc3","CDI","Non","Oui","F","c) De 4 à 9 ans","RH","Oui","d) 50 ans et plus","c) De 3000€ à 5000€","Temps partiel",6583.4,54
"4f4e37db20e840953fd73784ba31e5f6834a12de","CDI","Non","Oui","H","c) De 4 à 9 ans","Marketing","Non","b) 30 à 39 ans","e) de 7000€ à 9000€","Temps partiel",7017.56,49
"faeeb716eb64b641b3d78b61664b41c706f249c6","CDI","Non","Non","H","e) De 14 à 19 ans","Compta Finances","Oui","c) 40 à 49 ans","c) De 3000€ à 5000€","Plein temps",5855.09,54
"449ddc073fa99f5571044194ca5fc329c73c1534","CDI","Oui","Oui","F","c) De 4 à 9 ans","RH","Oui","d) 50 ans et plus","d) de 5000€ à 7000€","Plein temps",6583.4,54
"395c1fec4092868e4bb2688b4fa0c705bbe3e456","CDI","Non","Oui","F","f) De 19 à 24 ans","Consultant","Non","c) 40 à 49 ans","e) de 7000€ à 9000€","Plein temps",5912.17,52
"cc1d496193ebdb3e46903f19f71819c92a16b6f7","CDI","Oui","Oui","F","f) De 19 à 24 ans","Commercial","Non","d) 50 ans et plus","e) de 7000€ à 9000€","Temps partiel",6542.42,51
"4ddd1eedbbf97c47e28365cbe223a8c20608516e","CDI","Non","Oui","H","f) De 19 à 24 ans","R&D","Non","d) 50 ans et plus","e) de 7000€ à 9000€","Plein temps",7784.36,53
"49aa7874ce9b6ca4bb2c0d70443ef0ef7a9931d4","CDI","Non","Oui","H","d) De 9 à 14 ans","Commercial","Oui","d) 50 ans et plus","e) de 7000€ à 9000€","Plein temps",7790.21,51
"c6234e692db23634b4fddbaaad784b7cb6f9b703","CDI","Oui","Oui","H","f) De 19 à 24 ans","Marketing","Non","d) 50 ans et plus","d) de 5000€ à 7000€","Plein temps",7017.56,49
"ecd5dceeea7816400cf24476e99b6d7003ebe4eb","CDI","Non","Non","H","e) De 14 à 19 ans","R&D","Non","c) 40 à 49 ans","e) de 7000€ à 9000€","Plein temps",7784.36,53
"88d093964467323fc7d678c0fc9ea27d8962d792","CDI","Oui","Oui","F","b) De 1 à 4 ans","Consultant","Oui","d) 50 ans et plus","b) De 1500€ à 3000€","Plein temps",5912.17,52
"d648f5d86c7adb29b0c02ed26e9af68c78c1e655","CDI","Non","Non","F","g) De 24 à 29 ans","Consultant","Non","d) 50 ans et plus","c) De 3000€ à 5000€","Plein temps",5912.17,52
"417a7867061858404abb881a4e69201d355743cb","CDI","Non","Oui","F","e) De 14 à 19 ans","Compta Finances","Oui","d) 50 ans et plus","f) Plus de 9000€","Plein temps",6615.96,50
"b4943b88e6152f586fdeb667752e9c5ec8ccd72a","CDI","Oui","Non","F","c) De 4 à 9 ans","Consultant","Oui","d) 50 ans et plus","e) de 7000€ à 9000€","Plein temps",5912.17,52
"3922bd92bffb6f65a3252a22f464ae63ef2bcd98","CDI","Non","Non","H","d) De 9 à 14 ans","Consultant","Oui","d) 50 ans et plus","b) De 1500€ à 3000€","Plein temps",4952.42,53
"1e43db5abb9a7ab30afeaac9a972bfcfd54eb19b","CDI","Oui","Oui","F","e) De 14 à 19 ans","Commercial","Oui","d) 50 ans et plus","c) De 3000€ à 5000€","Plein temps",6542.42,51
"d02766edb335cf357fb62960bc44fb8aade72328","CDI","Non","Oui","H","c) De 4 à 9 ans","R&D","Oui","d) 50 ans et plus","f) Plus de 9000€","Plein temps",7784.36,53
"5c1ec341bf8d1b01ca10b8dbb40a8169f61bb8f6","CDI","Non","Oui","H","e) De 14 à 19 ans","Marketing","Oui","d) 50 ans et plus","f) Plus de 9000€","Plein temps",7017.56,49
